
[00:00:00.020 --> 00:00:03.600]  欢迎收听谷爱,我是星风公,本集节目由雨伞王赞助
[00:18:57.340 --> 00:18:58.280]  叫做Triggerfish
[00:18:58.280 --> 00:18:59.420]  那这个Triggerfish
[00:18:59.420 --> 00:19:01.860]  我们稍微都去做了一下调查
[00:19:01.860 --> 00:19:02.980]  那去问了一下
[00:19:02.980 --> 00:19:03.960]  其实这算是一个
[00:19:03.960 --> 00:19:05.480]  非常早期阶段的东西
[00:19:05.480 --> 00:19:06.460]  就是一般来说
[00:19:06.460 --> 00:19:07.580]  像我们在市场上
[00:19:07.580 --> 00:19:08.460]  跟大家分享的东西
[00:19:08.460 --> 00:19:10.820]  都是你可能已经是有看到
[00:19:10.820 --> 00:19:12.220]  它有一个road map跑出来
[00:19:12.220 --> 00:19:13.120]  已经有一些状况
[00:19:13.120 --> 00:19:14.380]  才会跟大家去讲说
[00:19:14.380 --> 00:19:15.360]  可能后面有什么契机
[00:19:15.360 --> 00:19:15.860]  可以去注意
[00:19:15.860 --> 00:19:17.120]  但这个真的是还在
[00:19:17.120 --> 00:19:18.660]  非常early phase的一个东西
[00:19:18.660 --> 00:19:19.460]  那严格上来说
[00:19:19.460 --> 00:19:20.520]  它并不是说
[00:19:20.520 --> 00:19:22.040]  额外再去拉出一颗
[00:19:22.040 --> 00:19:24.160]  就是那种standalone的晶片
[00:19:24.160 --> 00:19:25.100]  它比较平常是用
[00:19:25.100 --> 00:19:26.840]  本来的晶片去做一些调整
[00:19:26.840 --> 00:19:27.720]  可能在memory这边
[00:19:27.720 --> 00:19:29.060]  去做一些加量
[00:19:29.060 --> 00:19:30.420]  加料之类的
[00:19:30.420 --> 00:19:31.560]  那所做出来的一颗
[00:19:31.560 --> 00:19:32.840]  所以它没有办法
[00:19:32.840 --> 00:19:34.980]  就是单一的去评量说
[00:19:34.980 --> 00:19:35.880]  它可能会多多少量
[00:19:35.880 --> 00:19:37.020]  我们可以把它视为说
[00:19:37.020 --> 00:19:37.960]  跟前面的那一颗
[00:19:37.960 --> 00:19:38.420]  算是一样的
[00:19:38.420 --> 00:19:39.240]  是包在一起
[00:19:39.240 --> 00:19:40.020]  就是triggerfish
[00:19:40.020 --> 00:19:41.220]  然后跟前面
[00:19:41.220 --> 00:19:42.280]  不管是zebra或是humo
[00:19:42.280 --> 00:19:44.040]  就是联发科这一条线
[00:19:44.040 --> 00:19:45.520]  你可以把它算成是一起的
[00:19:45.520 --> 00:19:46.500]  不过因为说triggerfish
[00:19:46.500 --> 00:19:47.740]  然后就额外就多出很多市场
[00:19:47.740 --> 00:19:48.460]  可以这样去想象
[00:19:48.460 --> 00:19:49.900]  但是其实可以代表说
[00:19:49.900 --> 00:19:51.380]  它有办法在Google这边
[00:19:51.380 --> 00:19:52.420]  在额外去拿到案子
[00:19:52.420 --> 00:19:53.740]  那一定就是在开发上面
[00:19:53.740 --> 00:19:54.620]  是相对的
[00:19:54.620 --> 00:19:55.440]  还蛮顺利的
[00:19:55.440 --> 00:19:57.160]  所以才会被award一些东西
[00:19:57.160 --> 00:19:57.900]  所以这个就是
[00:19:57.900 --> 00:19:59.500]  稍微的不同于
[00:19:59.500 --> 00:20:01.300]  像前面BrockCon老板所讲的
[00:20:01.300 --> 00:20:02.020]  他说这些都是
[00:20:02.020 --> 00:20:03.840]  就是像小屁孩一样
[00:20:03.840 --> 00:20:04.440]  在后面随意
[00:20:04.440 --> 00:20:07.040]  不管是Marvel或是联发科都是
[00:20:07.040 --> 00:20:08.380]  那看来这些小屁孩
[00:20:08.380 --> 00:20:09.660]  真的都是有去
[00:20:09.660 --> 00:20:10.980]  获得一些时机
[00:20:10.980 --> 00:20:13.020]  也不要说我们要去挑战博通
[00:20:13.020 --> 00:20:14.040]  或是要把博通踩下去
[00:20:14.040 --> 00:20:15.420]  但他们确实是有打出
[00:20:15.420 --> 00:20:16.560]  自己的一个市场
[00:20:16.560 --> 00:20:17.320]  所以这个triggerfish
[00:20:17.320 --> 00:20:18.740]  就稍微简单跟大家讲一下
[00:20:18.740 --> 00:20:20.100]  它就是一个
[00:20:20.100 --> 00:20:21.140]  反正你想象成是
[00:20:21.140 --> 00:20:22.040]  加强版的晶片
[00:20:22.040 --> 00:20:22.700]  它并不是额外
[00:20:22.700 --> 00:20:23.580]  再拉一个东西出来
[00:20:23.580 --> 00:20:25.020]  反正在博通这边
[00:20:25.020 --> 00:20:26.080]  就真的有新东西出来
[00:20:26.080 --> 00:20:27.080]  我不知道我们在节目
[00:20:27.080 --> 00:20:27.560]  跟大家讲过
[00:20:27.560 --> 00:20:28.340]  但反正就稍微
[00:20:28.340 --> 00:20:29.820]  快速的复习一下
[00:20:29.820 --> 00:20:30.560]  我们都知道说
[00:20:30.560 --> 00:20:31.920]  博通在第八代
[00:20:31.920 --> 00:20:32.580]  有看到它的东西
[00:20:32.580 --> 00:20:33.220]  可是第九代
[00:20:33.220 --> 00:20:33.780]  大家发现说
[00:20:33.780 --> 00:20:35.000]  它的东西怎么不见了
[00:20:35.000 --> 00:20:36.020]  大概在几个月前的节目
[00:20:36.020 --> 00:20:36.840]  我跟大家聊到说
[00:20:36.840 --> 00:20:37.620]  你去观察它的RAWMAP
[00:20:37.620 --> 00:20:38.520]  好像少了一颗东西
[00:20:38.520 --> 00:20:38.960]  然后后来
[00:20:38.960 --> 00:20:40.300]  那个东西有跑出来
[00:20:40.300 --> 00:20:41.120]  叫做wellfish
[00:20:41.120 --> 00:20:42.380]  它其实就用前一个fish
[00:20:42.380 --> 00:20:43.360]  然后去把它变成是
[00:20:43.360 --> 00:20:44.400]  双拼的晶片
[00:20:44.400 --> 00:20:45.100]  二拼一
[00:20:45.100 --> 00:20:46.060]  所以这可能是
[00:20:46.060 --> 00:20:46.740]  在载版这边
[00:20:46.740 --> 00:20:47.440]  我觉得可以找到
[00:20:47.440 --> 00:20:48.400]  一些机会的东西
[00:20:48.400 --> 00:20:50.040]  它就是作为
[00:20:50.040 --> 00:20:51.540]  是它的下一代去做采用
[00:20:51.540 --> 00:20:52.080]  所以最后面
[00:20:52.080 --> 00:20:53.280]  就是去解决了
[00:20:53.280 --> 00:20:54.700]  我们这些市场人士
[00:20:54.700 --> 00:20:55.660]  本来心中的一个问题
[00:20:55.660 --> 00:20:56.500]  奇怪怎么博通
[00:20:56.500 --> 00:20:57.300]  被跳过了一代
[00:20:57.300 --> 00:20:57.940]  它没有被跳过
[00:20:57.940 --> 00:20:59.900]  它就是有新的产品的产生
[00:20:59.900 --> 00:21:01.760]  所以大概是这样子
[00:21:01.760 --> 00:21:02.600]  那再来呢
[00:21:02.600 --> 00:21:04.640]  我们也有去注意到说
[00:21:04.640 --> 00:21:05.940]  在被动元件这边
[00:21:05.940 --> 00:21:07.240]  接下来的
[00:21:07.240 --> 00:21:08.800]  可能我猜快的话
[00:21:08.800 --> 00:21:09.280]  7月初
[00:21:09.280 --> 00:21:10.860]  还是会有新一波的
[00:21:10.860 --> 00:21:11.580]  涨价产生
[00:21:11.580 --> 00:21:12.860]  那这边我就必须要去
[00:21:12.860 --> 00:21:14.500]  赞叹一下市场的一个效率
[00:21:14.500 --> 00:21:15.620]  那我们的节目听众知道
[00:21:15.620 --> 00:21:16.560]  说虽然我自己是
[00:21:16.560 --> 00:21:18.380]  有看到被动元件的趋势
[00:21:18.380 --> 00:21:19.000]  也有在第一时间
[00:21:19.000 --> 00:21:19.380]  跟大家讲
[00:21:19.380 --> 00:21:19.720]  可是那时候
[00:21:19.720 --> 00:21:21.460]  我心中的一个OS
[00:21:21.460 --> 00:21:22.840]  跟我实际上讲出来的说法
[00:21:22.840 --> 00:21:23.560]  是有对到
[00:21:23.560 --> 00:21:24.760]  就是说其实电阻
[00:21:24.760 --> 00:21:25.660]  我感觉它应该是
[00:21:25.660 --> 00:21:26.920]  没有这么好的一个市场
[00:21:26.920 --> 00:21:27.560]  可是我们最近开始
[00:21:27.560 --> 00:21:28.600]  去密集的注意到
[00:21:28.600 --> 00:21:29.480]  RCHIP的一个
[00:21:29.480 --> 00:21:31.000]  涨价的趋势
[00:21:31.000 --> 00:21:32.100]  然后现在已经是
[00:21:32.100 --> 00:21:32.820]  怎么讲
[00:21:32.820 --> 00:21:33.900]  因为它压不住了
[00:21:33.900 --> 00:21:34.980]  终于要持续的
[00:21:34.980 --> 00:21:35.640]  喷射上去
[00:21:35.640 --> 00:21:36.540]  那我自己的猜想
[00:21:36.540 --> 00:21:36.980]  是这样子
[00:21:36.980 --> 00:21:38.080]  因为一开始我们去
[00:21:38.080 --> 00:21:39.880]  做这些产业严调的时候
[00:21:39.880 --> 00:21:40.600]  我们就有注意到说
[00:21:40.600 --> 00:21:41.640]  像电阻的驾动率
[00:21:41.640 --> 00:21:42.560]  它真的是相对低
[00:21:42.560 --> 00:21:43.920]  就如果说你电容
[00:21:43.920 --> 00:21:44.620]  跟电感都没有
[00:21:44.620 --> 00:21:45.200]  喷上去的话
[00:21:45.200 --> 00:21:46.640]  那你去讲电阻太怪
[00:21:46.640 --> 00:21:47.360]  因为它那个驾动率
[00:21:47.360 --> 00:21:48.220]  就是没有上去
[00:21:48.220 --> 00:21:49.760]  但可能就是在
[00:21:49.760 --> 00:21:50.700]  这一波被动元件
[00:21:50.700 --> 00:21:51.920]  因为终于被市场发现
[00:21:51.920 --> 00:21:52.560]  前面讲的时候
[00:21:52.560 --> 00:21:53.460]  你知道其实有很多
[00:21:53.460 --> 00:21:54.040]  严调单位
[00:21:54.040 --> 00:21:54.860]  或是很多的
[00:21:54.860 --> 00:21:56.060]  券商报告的人
[00:21:56.060 --> 00:21:56.700]  他们都认为说
[00:21:56.700 --> 00:21:57.440]  这不会有事情
[00:21:57.440 --> 00:21:58.140]  这扩散很简单
[00:21:58.140 --> 00:21:59.100]  然后现在开始发现说
[00:21:59.100 --> 00:22:00.560]  干 你有点包不住了
[00:22:00.560 --> 00:22:02.300]  开始要出大事了
[00:22:02.300 --> 00:22:02.960]  火要烧起来了
[00:22:02.960 --> 00:22:04.220]  那一些地方采购
[00:22:04.220 --> 00:22:05.240]  可能也意识到这件事情
[00:22:05.240 --> 00:22:06.160]  所以我相信
[00:22:06.160 --> 00:22:07.360]  可能它的一个
[00:22:07.360 --> 00:22:08.200]  就是假设我们
[00:22:08.200 --> 00:22:09.740]  开上帝视角去看的话
[00:22:09.740 --> 00:22:11.300]  是前面的一些料
[00:22:11.300 --> 00:22:12.740]  出现了被卡住
[00:22:12.740 --> 00:22:13.820]  然后跟叫不到
[00:22:13.820 --> 00:22:15.020]  那所以导致说
[00:22:15.020 --> 00:22:16.520]  它怕后面的一些料
[00:22:16.520 --> 00:22:17.620]  会不会我动作慢
[00:22:17.620 --> 00:22:18.300]  我也被卡住
[00:22:18.300 --> 00:22:19.280]  所以它立刻的
[00:22:19.280 --> 00:22:21.240]  去做加单跟下单
[00:22:21.240 --> 00:22:22.260]  所以才会导致说
[00:22:22.260 --> 00:22:22.940]  一些电阻
[00:22:22.940 --> 00:22:24.140]  我们也开始发现说
[00:22:24.140 --> 00:22:25.320]  在市场里面
[00:22:25.320 --> 00:22:26.920]  就是它供需的状况
[00:22:26.920 --> 00:22:27.420]  开始变紧
[00:22:27.420 --> 00:22:28.120]  然后甚至有一些
[00:22:28.120 --> 00:22:29.040]  涨价性会发出
[00:22:29.040 --> 00:22:29.900]  甚至有一些说法
[00:22:29.900 --> 00:22:30.660]  是后面的一些
[00:22:30.660 --> 00:22:31.760]  涨价的主轴
[00:22:31.760 --> 00:22:32.340]  在短期内
[00:22:32.340 --> 00:22:33.400]  你会看到的是电阻
[00:22:33.400 --> 00:22:34.420]  因为前面的电容
[00:22:34.420 --> 00:22:35.560]  已经是相当程度
[00:22:35.560 --> 00:22:36.480]  有去做一些涨价
[00:22:36.480 --> 00:22:37.920]  而且有成功的反映到
[00:22:37.920 --> 00:22:39.020]  一些大型的EMS
[00:22:39.020 --> 00:22:39.640]  或是ODM
[00:22:39.640 --> 00:22:40.720]  它们是有接受涨价的
[00:22:40.720 --> 00:22:42.520]  而且中位数的数字
[00:22:42.520 --> 00:22:43.260]  在过去几集
[00:22:43.260 --> 00:22:43.580]  我跟大家讲
[00:22:43.580 --> 00:22:44.400]  中位数的数字
[00:22:44.400 --> 00:22:45.940]  是超乎我们的预期
[00:22:45.940 --> 00:22:47.200]  那所以电阻后面
[00:22:47.200 --> 00:22:48.160]  也会看到一些
[00:22:48.160 --> 00:22:49.180]  涨价的产生
[00:22:49.180 --> 00:22:50.400]  那功率元件
[00:22:50.400 --> 00:22:51.160]  最近的话
[00:22:51.160 --> 00:22:52.600]  就向上级跟大家讲到
[00:22:52.600 --> 00:22:53.800]  它可能比较偏向是一个
[00:22:53.800 --> 00:22:54.680]  产能的问题
[00:22:54.680 --> 00:22:55.720]  必须要去克服
[00:22:55.720 --> 00:22:56.660]  那甚至后面
[00:22:56.660 --> 00:22:57.680]  会产生的问题是
[00:22:57.680 --> 00:22:58.420]  如果没有办法
[00:22:58.420 --> 00:22:59.200]  拿到这些
[00:22:59.200 --> 00:23:00.460]  当然最密集使用的
[00:23:00.460 --> 00:23:01.560]  可能是8寸晶圆的话
[00:23:01.560 --> 00:23:02.480]  那有可能
[00:23:02.480 --> 00:23:03.320]  它的营收获利
[00:23:03.320 --> 00:23:04.340]  就不一定可以开出来
[00:23:04.340 --> 00:23:05.180]  所以可以掌握
[00:23:05.180 --> 00:23:06.240]  不管是你自己
[00:23:06.240 --> 00:23:07.800]  是有垂直代工
[00:23:07.800 --> 00:23:09.580]  去制造晶片的能力
[00:23:09.580 --> 00:23:10.500]  或者是你也有去
[00:23:10.500 --> 00:23:11.060]  secure到
[00:23:11.060 --> 00:23:11.800]  不管是在一些
[00:23:11.800 --> 00:23:12.720]  成熟制成的厂房
[00:23:12.720 --> 00:23:13.900]  或是后段的风车
[00:23:13.900 --> 00:23:14.420]  那就有机会
[00:23:14.420 --> 00:23:14.740]  你在后面
[00:23:14.740 --> 00:23:15.700]  可以开出一些成绩
[00:23:15.700 --> 00:23:16.600]  所以目前
[00:23:16.600 --> 00:23:18.440]  以我们的角度来看的话
[00:23:18.440 --> 00:23:19.800]  整个市场上的结构
[00:23:19.800 --> 00:23:20.760]  并没有发生
[00:23:20.760 --> 00:23:22.780]  太大的一个转变
[00:23:22.780 --> 00:23:23.500]  比较偏向是
[00:23:23.500 --> 00:23:24.040]  就是因为
[00:23:24.040 --> 00:23:25.200]  可能前面就涨很多
[00:23:25.200 --> 00:23:26.760]  所以出现一些
[00:23:26.760 --> 00:23:28.560]  拉回的现象
[00:23:28.560 --> 00:23:30.120]  那市场里面的一些利多
[00:23:30.120 --> 00:23:31.220]  之所以没有办法
[00:23:31.220 --> 00:23:32.480]  去对它做驱动
[00:23:32.480 --> 00:23:33.480]  就像是联发科的
[00:23:33.480 --> 00:23:34.020]  一个涨价线
[00:23:34.020 --> 00:23:34.740]  或者是说
[00:23:34.740 --> 00:23:35.680]  像是Triggerfish
[00:23:35.680 --> 00:23:37.060]  就额外再多了一个东西
[00:23:37.060 --> 00:23:38.400]  为什么可能没有去动
[00:23:38.400 --> 00:23:38.780]  或是怎么样
[00:23:38.780 --> 00:23:39.780]  就有可能就是
[00:23:39.780 --> 00:23:40.940]  当然前面涨多
[00:23:40.940 --> 00:23:41.580]  然后再来就是
[00:23:41.580 --> 00:23:42.760]  因为其实市场下
[00:23:42.760 --> 00:23:43.380]  就是在一个
[00:23:43.380 --> 00:23:44.860]  回涨的一个状态
[00:23:44.860 --> 00:23:45.720]  所以你去看一些东西
[00:23:45.720 --> 00:23:46.680]  是不一定是准的
[00:23:46.680 --> 00:23:48.380]  但是其实在今天的尾盘
[00:23:48.380 --> 00:23:49.320]  我觉得已经有
[00:23:49.320 --> 00:23:50.060]  注意到一些
[00:23:50.060 --> 00:23:51.040]  不一样的情形
[00:23:51.040 --> 00:23:52.160]  就是开始有一些东西
[00:23:52.160 --> 00:23:53.180]  有在拉尾
[00:23:53.180 --> 00:23:54.880]  那以我们的角度来讲
[00:23:54.880 --> 00:23:56.140]  就这些拉尾的东西
[00:23:56.140 --> 00:23:57.400]  就有机会会是
[00:23:57.400 --> 00:23:58.820]  假设国际盘
[00:23:58.820 --> 00:24:00.060]  在今天晚上稳住
[00:24:00.060 --> 00:24:01.520]  然后明天开始要反攻的话
[00:24:01.520 --> 00:24:02.780]  就会是冲第一棒的东西
[00:24:02.780 --> 00:24:04.080]  所以整体来看
[00:24:04.080 --> 00:24:04.980]  像我自己是没有
[00:24:04.980 --> 00:24:06.980]  在部位的总水位上面
[00:24:06.980 --> 00:24:08.380]  去做太多的一个调整
[00:24:08.380 --> 00:24:09.380]  就是反正
[00:24:09.380 --> 00:24:10.520]  以我的想法就是
[00:24:10.520 --> 00:24:11.880]  当今天可能哪些东西
[00:24:11.880 --> 00:24:13.280]  有一些邦匹的状况产生
[00:24:13.280 --> 00:24:14.460]  我就调一点调一点
[00:24:14.460 --> 00:24:15.280]  但是我会去找
[00:24:15.280 --> 00:24:16.100]  新的东西去弄
[00:24:16.100 --> 00:24:17.060]  那现在市场
[00:24:17.060 --> 00:24:18.100]  给我的一个感受就是
[00:24:18.100 --> 00:24:18.840]  其实新的东西
[00:24:18.840 --> 00:24:19.700]  还是非常多
[00:24:19.700 --> 00:24:20.480]  在那边排队
[00:24:20.480 --> 00:24:21.580]  所以并没有到
[00:24:21.580 --> 00:24:23.340]  特别紧张的一个感觉
[00:24:23.340 --> 00:24:24.580]  那我们也不喜欢当预言家
[00:24:24.580 --> 00:24:25.360]  就是在某个地方
[00:24:25.360 --> 00:24:26.460]  去猜说这里就是
[00:24:26.460 --> 00:24:27.800]  反转的开始
[00:24:27.800 --> 00:24:28.880]  我觉得这是没有意义的
[00:24:28.880 --> 00:24:30.000]  反正去做交易
[00:24:30.000 --> 00:24:30.780]  或者说做投资
[00:24:30.780 --> 00:24:31.600]  就是你看到什么
[00:24:31.600 --> 00:24:32.960]  你就去做相对应的东西
[00:24:32.960 --> 00:24:33.740]  那有时候甚至要
[00:24:33.740 --> 00:24:34.680]  去把自己的一些
[00:24:34.680 --> 00:24:35.580]  那种敏感度的东西
[00:24:35.580 --> 00:24:36.180]  调低一点
[00:24:36.180 --> 00:24:37.180]  因为假如太敏感的话
[00:24:37.180 --> 00:24:38.440]  就像是之前
[00:24:38.440 --> 00:24:39.160]  跟大家分享
[00:24:39.160 --> 00:24:40.140]  有些人会去用那什么
[00:24:40.140 --> 00:24:42.000]  CNN的恐惧贪婪指标
[00:24:42.000 --> 00:24:42.640]  去做交易
[00:24:42.640 --> 00:24:43.440]  那个不太可能
[00:24:43.440 --> 00:24:44.400]  我都在想说
[00:24:44.400 --> 00:24:45.600]  就整天在贴这些东西
[00:24:45.600 --> 00:24:46.280]  搞不好自己
[00:24:46.280 --> 00:24:47.200]  不一定有在交易
[00:24:47.200 --> 00:24:48.900]  因为你真的这样子做的话
[00:24:48.900 --> 00:24:50.920]  你就是每天在最高杀低
[00:24:50.920 --> 00:24:51.880]  简单来讲是这样
[00:24:51.880 --> 00:24:53.160]  你交易的频率太高了
[00:24:53.160 --> 00:24:54.280]  所以你根本什么波段
[00:24:54.280 --> 00:24:54.980]  都不用报了
[00:24:54.980 --> 00:24:55.340]  你是这样
[00:24:55.340 --> 00:24:57.400]  你要做日内当冲的话
[00:24:57.400 --> 00:24:58.100]  那你不应该
[00:24:58.100 --> 00:24:59.080]  是用手动在点
[00:24:59.080 --> 00:25:00.460]  所以就是有一些那种
[00:25:00.460 --> 00:25:01.720]  比较短期的讯号
[00:25:01.720 --> 00:25:03.240]  其实真的是不用太在意
[00:25:03.240 --> 00:25:04.120]  但你可以理解
[00:25:04.120 --> 00:25:04.640]  就是因为
[00:25:04.640 --> 00:25:06.900]  市场随时都有新的人加入
[00:25:06.900 --> 00:25:08.020]  如果当然你是在过去
[00:25:08.020 --> 00:25:08.880]  一两个月加入的
[00:25:08.880 --> 00:25:09.880]  你看到有一定觉得说
[00:25:09.880 --> 00:25:10.520]  很烙赛
[00:25:10.520 --> 00:25:11.360]  我想我身边朋友
[00:25:11.360 --> 00:25:11.860]  开始有些
[00:25:11.860 --> 00:25:13.060]  自己的邻居
[00:25:13.060 --> 00:25:14.320]  他们有说大场面
[00:25:14.320 --> 00:25:14.840]  我想说
[00:25:14.840 --> 00:25:15.480]  这个
[00:25:15.480 --> 00:25:15.580]  这个
[00:25:15.580 --> 00:25:15.580]  这个
[00:25:15.580 --> 00:25:16.380]  真的不是大场面
[00:25:16.380 --> 00:25:17.180]  这个真的
[00:25:17.180 --> 00:25:18.720]  离大场面非常远
[00:25:18.720 --> 00:25:19.420]  就如果说
[00:25:19.420 --> 00:25:20.220]  真的大场面出来
[00:25:20.220 --> 00:25:22.080]  应该就往生了
[00:25:22.080 --> 00:25:22.900]  就应该会往生
[00:25:22.900 --> 00:25:24.160]  所以还是要非常小心
[00:25:24.160 --> 00:25:24.940]  就是说
[00:25:24.940 --> 00:25:25.780]  尽量不要因为
[00:25:25.780 --> 00:25:26.840]  短线的一些
[00:25:26.840 --> 00:25:28.180]  波动而产生
[00:25:28.180 --> 00:25:29.320]  然后就对市场
[00:25:29.320 --> 00:25:30.780]  是直接全面的改观
[00:25:30.780 --> 00:25:31.660]  没有必要这样子
[00:25:31.660 --> 00:25:32.520]  就如果你发现
[00:25:32.520 --> 00:25:33.820]  你的情绪会在
[00:25:33.820 --> 00:25:34.500]  可能
[00:25:34.500 --> 00:25:35.660]  两三个礼拜之间
[00:25:35.660 --> 00:25:36.840]  变换三四次以上
[00:25:36.840 --> 00:25:38.420]  你应该是哪里做错了
[00:25:38.420 --> 00:25:39.700]  就是应该是哪里做错
[00:25:39.700 --> 00:25:41.240]  所以大概跟大家报告一下
[00:25:41.240 --> 00:25:42.000]  就是下压市场
[00:25:42.000 --> 00:25:43.280]  自己的一些看法
[00:25:43.280 --> 00:25:44.060]  然后跟
[00:25:44.060 --> 00:25:45.560]  正在发生中的事情
[00:25:45.560 --> 00:25:46.440]  目前看起来是
[00:25:46.440 --> 00:25:47.060]  no change
[00:25:47.060 --> 00:25:47.600]  没有什么
[00:25:47.600 --> 00:25:48.800]  特别的变化
[00:25:48.800 --> 00:25:49.500]  比方像是就
[00:25:49.500 --> 00:25:50.940]  就涨多稍微的休息一下
[00:25:50.940 --> 00:25:51.840]  那后面可能明确的
[00:25:51.840 --> 00:25:52.860]  有看到一些新的趋势
[00:25:52.860 --> 00:25:53.840]  才有办法再跟大家
[00:25:53.840 --> 00:25:55.100]  去做一些剖析
[00:25:55.100 --> 00:25:56.140]  好大概就这样子
[00:25:56.140 --> 00:25:56.640]  好那接下来
[00:25:56.640 --> 00:25:57.660]  我们就来进入Q的部分
[00:25:57.660 --> 00:25:58.840]  第一位Lan Young
[00:25:58.840 --> 00:26:00.620]  那应该不是L
[00:26:00.620 --> 00:26:01.400]  那应该是I
[00:26:01.400 --> 00:26:02.180]  EN Young
[00:26:02.180 --> 00:26:03.980]  孟公想请你用猛男的声音
[00:26:03.980 --> 00:26:05.440]  对台南的士气说
[00:26:05.440 --> 00:26:06.760]  在台南一个人搏起
[00:26:06.760 --> 00:26:07.880]  会不会很孤单啊
[00:26:07.880 --> 00:26:09.720]  有时间上来台北一起硬啊
[00:26:09.720 --> 00:26:11.540]  还有想请孟公报名牌
[00:26:11.540 --> 00:26:12.800]  最爱喝的手摇饮
[00:26:12.800 --> 00:26:14.260]  是哪一家的什么品项呢
[00:26:14.260 --> 00:26:15.240]  冰块甜度
[00:26:15.240 --> 00:26:15.960]  感谢孟公
[00:26:15.960 --> 00:26:17.900]  祝孟公全家身体健康平平安安
[00:26:17.900 --> 00:26:19.300]  以前还是学生时期的时候
[00:26:19.300 --> 00:26:21.980]  非常喜欢喝清新的多多绿
[00:26:21.980 --> 00:26:23.900]  微糖少冰
[00:26:23.900 --> 00:26:26.040]  那这个是我最有印象的东西
[00:26:26.040 --> 00:26:27.940]  后来稍微的长大一点之后
[00:26:27.940 --> 00:26:29.800]  我就加入了无糖茶的行列
[00:26:29.800 --> 00:26:30.640]  那我后来发现
[00:26:30.640 --> 00:26:31.720]  各家的无糖茶
[00:26:31.720 --> 00:26:33.100]  我都可以找到它的
[00:26:33.100 --> 00:26:34.360]  故中奥妙
[00:26:34.360 --> 00:26:35.180]  我都会觉得说
[00:26:35.180 --> 00:26:36.960]  它可能有它有趣
[00:26:36.960 --> 00:26:39.300]  或是很赞的一个点
[00:26:39.300 --> 00:26:40.420]  就是我没有办法去
[00:26:40.420 --> 00:26:41.400]  帮它分一个稿下
[00:26:41.400 --> 00:26:42.540]  可能今天喜欢喝这家
[00:26:42.540 --> 00:26:43.500]  那明天喜欢喝那家
[00:26:43.500 --> 00:26:44.080]  所以只要是
[00:26:44.080 --> 00:26:44.840]  无糖茶
[00:26:44.840 --> 00:26:45.660]  少冰
[00:26:45.660 --> 00:26:46.680]  对我来讲都是
[00:26:46.680 --> 00:26:47.540]  喜欢
[00:26:47.540 --> 00:26:48.000]  赞
[00:26:48.000 --> 00:26:49.120]  大概是这样子
[00:26:49.120 --> 00:26:50.780]  林口有一个卖乌龙茶
[00:26:50.780 --> 00:26:52.280]  我暂时忘记它的名字
[00:26:52.280 --> 00:26:54.260]  在outlet里面有
[00:26:54.260 --> 00:26:55.180]  那个乌龙茶的
[00:26:55.180 --> 00:26:55.980]  什么春茶
[00:26:55.980 --> 00:26:56.980]  清茶什么的
[00:26:56.980 --> 00:26:58.080]  我觉得都蛮不错的
[00:26:58.080 --> 00:26:58.720]  还有焙茶
[00:26:58.720 --> 00:26:59.880]  就我一直点三种
[00:26:59.880 --> 00:27:01.380]  然后放在冰箱里面
[00:27:01.380 --> 00:27:01.960]  那下面一位
[00:27:01.960 --> 00:27:02.960]  贾赫忍蛙
[00:27:02.960 --> 00:27:03.660]  贾赫贾赫
[00:27:03.660 --> 00:27:05.160]  孟公能够理解一下
[00:27:05.160 --> 00:27:06.960]  小朋友的六七吗
[00:27:06.960 --> 00:27:07.720]  他们会把它称什么
[00:27:07.720 --> 00:27:08.420]  six seven
[00:27:08.420 --> 00:27:09.300]  就是不知道讲什么
[00:27:09.300 --> 00:27:10.200]  就six seven
[00:27:10.200 --> 00:27:11.780]  不能理解
[00:27:11.780 --> 00:27:13.220]  那不晓得诺亚会不会
[00:27:13.220 --> 00:27:13.900]  你会对
[00:27:13.900 --> 00:27:15.520]  对它比六七的手势
[00:27:15.520 --> 00:27:16.620]  它搞不好会回应你
[00:27:16.620 --> 00:27:18.100]  那请问床荡到现在
[00:27:18.100 --> 00:27:19.520]  还有恍然大悟的时候吗
[00:27:19.520 --> 00:27:21.080]  可以聊你在最开始
[00:27:21.080 --> 00:27:22.020]  每增加一位数的
[00:27:22.020 --> 00:27:22.860]  心态转变吗
[00:27:22.860 --> 00:27:24.840]  以你相对快的累积速度
[00:27:24.840 --> 00:27:26.280]  当时认知卡很久吗
[00:27:26.280 --> 00:27:27.300]  还是很快就掌握
[00:27:27.300 --> 00:27:27.820]  再来一次
[00:27:27.820 --> 00:27:28.920]  挂号没有现在的认知
[00:27:28.920 --> 00:27:30.180]  你还会用当时的打法吗
[00:27:30.180 --> 00:27:31.260]  以及当时的心态
[00:27:31.260 --> 00:27:32.140]  是死了算了
[00:27:32.140 --> 00:27:33.160]  大不了回去开飞机
[00:27:33.160 --> 00:27:34.160]  还是更相信
[00:27:34.160 --> 00:27:36.300]  自己的研究策略跟认知
[00:27:36.300 --> 00:27:37.840]  先讲前面
[00:27:37.840 --> 00:27:38.640]  就是six seven
[00:27:38.640 --> 00:27:39.120]  它是不会
[00:27:39.120 --> 00:27:40.560]  但是它有一个什么
[00:27:40.560 --> 00:27:42.720]  阿嬷掉进洗衣机
